Nom du Medicament,Numero AMM,Date Début,Prix Public,DCI,dosage,Conditionnement,Forme Galénique,Laboratoire,Voie d’administration,classe thérapeutique,RCP,Notice,Image
CALCIUM ET VITAMINE C RIPHARMA,002525,7 February 2024,"F CFA 3,291",GLUCONATE DE LACTATE DE CALCIUM / ACIDE ASCORBIQUE,1000 mg / 1000 mg,BOITE / 20,COMPRIME EFFERVESCENT,RIPHARMA LABORATORIES,ORALE,VITAMINES,RCP,Notice,Image
PALUVA PLUS SENIOR,004934,18 March 2024,"F CFA 2,706",ARTESUNATE,120 mg,BOITE / 1,INJECTABLE,SUBIRA PHARMACEUTICAL PVT LTD,PARENTERALE,ANTIPALUDEEN,RCP,Notice,Image
APETAMIN,002654,8 February 2024,"F CFA 1,840",CHLORHYDRATE DE CYPROHEPPTADINE,2 mg,BOITE / 30,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,STIMULANT DE L’APPETIT / ANTI ALLERGIQUE / ANTI PRURIGINEUX,RCP,Notice,Image
THERAPRIL,004931,18 March 2024,"F CFA 5,083",PERINDOPRIL,10 mg,BOITE / 30,COMPRIME,THERA,ORALE,INHIBITEUR DE L’ENZYME DE CONVERSION ( IEC ) NON ASSOCIES,RCP,Notice,Image
ACARBOSE-GH,002490,7 February 2024,"F CFA 24,383",ACARBOSE,100 mg,BOITE / 100,COMPRIME,GENERIC HEALTHCARE PVT.LDTSHIVAJINAGAR,ORALE,INHIBITEUR DE L’ALPHA- GLUCOSIDASE,RCP,Notice,Image
PEGLEC,002619,8 February 2024,"F CFA 9,753",POLYETHYLENE GLYCOL,118 mg,BOITE / 1,SACHET,TIL HEALTHCARE PVT LTD,ORALE,CONSTIPATION,RCP,Notice,Image
SEFAM PL,002628,8 February 2024,"F CFA 7,314",PERINDOPRIL ARGININE / AMLODIPINE,5mg / 10mg,BOITE / 30,COMPRIME,SEFIER LIFE SCIENCE PVT LTD,ORALE,AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE / INHIBITEURS DE L’EC,RCP,Notice,Image
CO-THERAPRIL,004939,18 March 2024,"F CFA 3,876",PERINDOPRIL ARGININE / AMLODIPINE,5 mg / 5 mg,BOITE / 30,COMPRIME,THERA,ORALE,INHIBITEUR DE L’ENZYME DE CONVERSION ( IEC ) ET INHIBITEUR C ALCIQUE,RCP,Notice,Image
ALFOSA,004938,18 March 2024,"F CFA 6,705",ACIDE ALENDRONIQUE,35 mg,BOITE / 4,COMPRIME,AUROCHEM LABORATOIRES PVT,ORALE,OSTEOPOROSE POST-MENOPAUSIQUE,RCP,Notice,Image
PROCTICAD,002492,7 February 2024,"F CFA 3,047",MONOHYDRATE DE LACTITOL,10 mg,FLACON / 200 ml,SUSPENSION BUVABLE,CADILA PHARMACEUTICALS LIMITED,ORALE,TRAITEMENT DE CONSTIPATION,RCP,Notice,Image
NYSTOAURA-OS,002648,8 February 2024,"F CFA 1,219",NYSTATINE,100000 UI,FLACON / 30,SUSPENSION BUVABLE,AURA LIFECARE PVT.LTD,ORALE,ANTIFONGIQUE,RCP,Notice,Image
MACROMYCIN,002491,7 February 2024,"F CFA 3,657",SPIRAMYCINE,3 M.I.U,BOITE / 20,COMPRIME PELLICULE,MACLEODS PHARMACEUTICALS LTD,ORALE,ANTIBACTERIEN AGENT,RCP,Notice,Image
TETATOX,004935,18/03/2024,"F CFA 4,145",ANATOXINE TETANIQUE PURIFIEE PAS MOINS DE 40 UI,0.5 ml,BOITE /1,SOLUTION INJECTABLE,BB- NCIPD LTD. 26,PARENTERALE,"ANTI INFECTIEUX POUR UTILISATION SYSTEMATIQUE, VACCINS, VACCINS BACTERIENS, VACCINS TETANIQUES, ANATOXINE TETANIQUE",RCP,Notice,Image
VITAMINE C RIPHARMA,002601,8 February 2024,"F CFA 3,291",ACIDE ASCORBIQUE USP,1000 mg,BOITE / 20,COMPRIME EFFERVESCENT,RIPHARMA LABORATORIES,ORALE,VITAMINES,RCP,Notice,Image
CLEDOMOX,002641,8 February 2024,"F CFA 6,705",AMOXICILLIN TRIHYDRATE / CLAVULANATE POTASSIUM,1000 mg / 125 mg,BOITE / 16,COMPRIME,MEDOPHARM PRIVATE LIMTED MEDOHOUSE,ORALE,ANTIBIOTIQUES ANTIBACTERIENS DE LA FAMILLE DES BETALACTAMINES. DU GROUPE DES AMINOPENICILLINES,RCP,Notice,Image
AVANEP,004945,18/03/2024,"F CFA 2,633",NEPAFENAC,1 mg,FLACON / 5ML,COLLYRE,ATCO LABORATOIRE LIMITED,OPHTALMIQUE,ANTI INLAMMATOIRE NON STEROIDIEN,RCP,Notice,Image
LASTAVIN AM,004936,18 March 2024,"F CFA 7,973",VALSARTAN / AMLODIPINE,160 mg / 5 mg,BOITE / 30,COMPRIME,AJANTA PHARMA LIMITED,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
BISOPROLOL REF,002528,7 February 2024,"F CFA 5,803",HEMIFUMARATE DE DISOPROLOL,2.5 mg,BOITE / 90,COMPRIME PELLICULE,BIOGARAN 15,ORALE,BETA-BLOQUANT SELECTIF,RCP,Notice,Image
PALSUNATE,002497,7 February 2024,"F CFA 2,072",ARTESUNATE,120 mg,BOITE / 1,SOLUTION INJECTABLE,MYRA HEALTHCARE,PARENTERALE,ANTIMALARIAL,RCP,Notice,Image
NYSTOAURA-V,002608,8 February 2024,"F CFA 1,219",NYSTATINE,100000 UI,BOITE / 20,COMPRIME VAGINAUX,AURA LIFECARE PVT.LTD,VAGINALE,ANTIFONGIQUE,RCP,Notice,Image
IBUPROFENE OBCO,002526,7 February 2024,"F CFA 2,133",IBUPROFENE,400 mg,BOITE / 100,COMPRIME,OBCO PHARLMA,ORALE,ANALGESIQUES / ANTI-INFLAMMATOIRE / ANTIPYRETIQUE,RCP,Notice,Image
G-OUT,002508,7 February 2024,"F CFA 1,219",COLCHICINE,"0,5 mg",BOITE / 20,COMPRIME PELLICULE,MACLEODS PHARMACEUTICALS LTD,ORALE,MEDICAMENT CONTRE LA GOUTTE SANS EFFET SUR LE METABOLISME DE L’ACIDE URIQUE,RCP,Notice,Image
MOVFOR,002611,8 February 2024,"F CFA 73,149",MOLNUPIRAVIR,200 mg,BOITE / 40,GELULE,HETERO LABS LIMITED,ORALE,"PROMEDICAMENT D’UN DERIVE NUCLEOSIDIQUE SYNTHETIQUE, LA N4-HYDROXYCYTIDINE, ET EXERCE SON ACTION ANTIVIRALE",RCP,Notice,Image
OMEPRAL,002511,7 February 2024,"F CFA 13,410",OMEPRAZOLE,40 mg,BOITE / 5,SOLUTION INJECTABLE,GENERIC HEALTHCARE PVT.LDTSHIVAJINAGAR,PARENTERALE,INHIBITEURS DE LA POMPE A PROTONS,RCP,Notice,Image
VENTOMAC,002531,7 February 2024,2682 F CFA,SALBUTAMOL,100 mcg,FLACON/ 200 DOSES,SOLUTION POUR INHALATION,MACLEODOS PHARMACEUTICALS LTD,ORALE,AGONISTE SELECTIF DES INHIBITEURS DES RECEPTEURS BETA-2-ADRENERGIQUES,RCP,Notice,Image
SLINDA,002635,8 February 2024,"F CFA 4,267",DROSPIRENONE,4 mg,BOITE /28,COMPRIME,EXELTIS HEALTHCARE,ORALE,"CONTRACEPTIFS HORMONAUX A USAGE SYSTEMATIQUE, PROGESTATIFS",RCP,Notice,Image
AMOXICILLINE OBCO,002600,8 February 2024,"F CFA 7,070",AMOXICILINE,500mg,BOITE / 120,GELULE,OBCO PHARLMA,ORALE,PENICILLINES A LARGE SPECTRE,RCP,Notice,Image
EMCOF,002624,8 February 2024,"F CFA 1,828",MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA,,FLACON / 100 ml,SIROP,MEDOPHARM PRIVATE LIMTED MEDOHOUSE,ORALE,EXPECTORANT EN CAS DE TOUX PRODUCTIVE,RCP,Notice,Image
ZAXTER,002640,8 February 2024,"F CFA 12,191",MEROPENEME,1 g,BOITE / 1,SOLUTION INJECTABLE,ALKEM LABORATOIRES LIMITED,PARENTERALE,ANTIBACTERIEN,RCP,Notice,Image
ENFAGRIP,002530,7 February 2024,"F CFA 1,036",SARJIKAKSHHARA PURIFIE / SOWATEL / SHATPUSFHATEL / PUDINA TEL BASE AQUEUSE DE SUCRE,45 mg / 0.0009 ml / 0.0007 ml / 0.0002 ml,FLACON / 150 ml,SOLUTION ORALE,TIL HEALTHCARE PVT LTD,ORALE,TRAITEMENT DES FLACTULENCES CHEZ LES ENFANTS,RCP,Notice,Image
PARACETAMOL OBCO,002610,8 February 2024,F CFA 975,PARACETAMOL,500 mg,BOITE / 100,COMPRIME,OBCO PHARMA,ORALE,ANALGESIQUES / ANTIPYRETIQUES,RCP,Notice,Image
DOXPYR,002639,8 February 2024,"F CFA 1,115",SUCCINATE DE DOXYLAMINE / CHLORHYDRATE DE PYRIDOXINE,10 mg / 10 mg,BOITE /20,COMPRIME,AURA LIFECARE PVT.LTD,ORALE,ANTIHISTAMINIQUE A USAGE SYSTEMATIQUE,RCP,Notice,Image
ZEALARGY,002509,7 February 2024,"F CFA 4,876",RUPATADINE,10 mg,BOITE / 20,COMPRIME,CADILA PHARMACEUTICALS LIMITED,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
SEFAM PL,002529,7 February 2024,"F CFA 7,924",PERINDOPRIL / AMLODIPINE,10 mg / 10 mg,BOITE / 30,COMPRIME,SEFIER LIFE SCIENCE PVT LTD,ORALE,AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE / INHIBITEURS DE L’EC,RCP,Notice,Image
ALPRAZOLAM BIOGARAN,002646,8 February 2024,"F CFA 1,828",ALPRAZOLAM,"0,5 mg",BOITE / 30,COMPRIME,BIOGARAN,ORALE,ANXIOLYTIQUES,RCP,Notice,Image
TAXIME O FORTE,002515,7 February 2024,"F CFA 5,120",CEFIXIME ANHYDRE,100 mg,FLACON / 60 ml,SUSPENSION BUVABLE,ALKEM LABORATOIRES LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
MULTIGARD C DROPS,002638,8 February 2024,"F CFA 1,158",L-THEONINE / L-VALINE / L-METHIONINE / L-ISOLEUCINE / L-LEUCINE / L-PHENYLALANINE / L-TRYPTOPHANE / CHLORHYDRATE DE L-LYSINE / ACIDE ASCORBIQUE,"0,84 mg/ 1,34 mg/ 1,84 mg/ 1,18 mg/ 3,66 mg/ 1,00 mg/ 1,00 mg / 5,00 mg / 100 mg",FLACON / 15ml,GOUTTES BUVABLES,TABLETS MEDOPHARM PRIVATE LIMITED,ORALE,CARENCE EN ACIDES AMINES ET EN VITAMINES,RCP,Notice,Image
ASTYMIN,002636,8 February 2024,"F CFA 5,120",CYANOCOBALAMINE/ CHOLECALCIFEROL/ ACIDE FOLIQUE/ VITAMINE A/ THIAMINE/ RIBOFLAVINE/ PYRIDOXINE/ NICOTINAMIDE/ PANTHOTHENATE DE CALCIUM,"2,5 mcg/ 200 ui/ 0,75 mg/ 40 mg/ 2500 ui/ 5mg/ 3.00 mg/ 1,5 mg/ 25mg/ 5mg",FLACON/ 200 ml,SIROP,TIL HEALTHCARE PVT LTD,ORALE,TRAITEMENT DE PATIENTS PRÉSENTANT DES DÉFICIENCES OU DES EXIGENCES D’ACIDES AMINÉS ET DE VITAMINES,RCP,Notice,Image
ONDAMAC,002649,8 February 2024,"F CFA 6,705",ONDANSETRON,4mg,BOITE / 10,COMPRIME,MACLEODS PHARMACEUTIQUE LTD,ORALE,ANTAGONISTE SELECTIF DES RECEPTEURS 5-HT3 UTILISE DANS LE TRAITEMENT POST-OPERATOIRE DES NAUSEES ET VOMISSEMENTS (NVPO),RCP,Notice,Image
VERMOX,002643,8 February 2024,"F CFA 4,901",MEBENDAZOLE,20 mg / ml,FLACON/ 30 ml,SUSPENSION BUVABLE,JANSSEN-CILAG 1,ORALE,ANTIHELMINTHIQUE,RCP,Notice,Image
MYCOXIB,002514,7 February 2024,"F CFA 4,877",ETORICOXIB,90 mg,BOITE / 30,COMPRIME,MYA HEALTHCARE,ORALE,ANTI INFLAMMATOIRE / ANTIRHUMATISMAUX / NON STEROIDIEN / COXIBS,RCP,Notice,Image
BI-THERAPRIL,004965,18/03/2024,"F CFA 4,693",PERINDROPILE ARGININE / INDAPAMIDE,5.0mg / INADAPAMIDE 1.25mg,BOITE / 30,COMPRIME,THERA,ORALE,DIURETIQUE CODE ATC,RCP,Notice,Image
ALFOSA,004970,18/03/2024,"F CFA 8,534",ACIDE ALENDRONIQUE,70mg,BOITE / 4,COMPRIME,AUROCHEM,ORALE,OSTEOPOROSE POST-MENOPAUSIQUE,RCP,Notice,Image
PERISOLOL,004954,18/03/2025,"F CFA 7,314",FUMARATE DE BISOPROLOL / PERINDOPRIL ARGININE,10 mg / 10 mg,BOITE / 30,COMPRIME,GENERIC HEALTHCARE PVT LTD,ORALE,INHIBITEUR DE L ENZYME DE CONVERSION CODE ATC C09BX02,RCP,Notice,Image
PERISOLOL,004952,18/03/2024,"F CFA 4,876",FUMARATE DE BISOPROLOL / PERINDOPRIL ARGININE,5 mg / 5 mg,BOITE / 30,COMPRIME,GENERIC HEALTHCARE PVT LTD,ORALE,INHIBITEUR DE L ENZYME DE CONVERSION CODE ATC C09BX02,RCP,Notice,Image
CEFTRON,004981,18/03/2024,"F CFA 1,621",CEFTRIAXONE / SULBACTAME,1000 mg / 500 mg,BOITE / 1,INJECTABLE,NSN HEALTHCARE. PVT LTD,INJECTABLE,ANTI- INFECTIEUX,RCP,Notice,Image
TETAVIN,004977,18/03/2024,"F CFA 4,388",SERUM ANTITETANINE,1500 UI / ml,BOITE / 1,SOLUTION INJECTABLE,VINS BIOPRODUCTS,INJECTABLE,SERUM ANTI-TETANINE,RCP,Notice,Image
BI-THERAPRIL,004964,18/03/2024,"F CFA 7,010",PERINDROPILE ARGININE / INDAPAMIDE,10 mg / 2.5 mg,BOITE / 30,COMPRIME,THERA,ORALE,DIURETIQUE CODE ATC : C09BA04,RCP,Notice,Image
PALUVA PLUS JUNIOR,004978,18/03/2024,F CFA 902,ARTESUNATE,30 mg,BOITE / 1,SOLUTION INJECTABLE,SUBIRA PHARMACEUTICALS PVT LMT,INJECTABLE,ANTIPALUDEEN,RCP,Notice,Image
PARIB,004967,18/03/2024,F CFA 975,PARACETAMOL / IBUPROFENE / CAFEINE,500 mg / 400 mg / 30 mg,BOITE / 10,COMPRIME,SUBIRA PHARMACEUTICALS PVT LMT,ORALE,"ANTALGIQUES, ANTI-INFLAMMATOIRES ET ANTIPYRETIQUES",RCP,Notice,Image
PAMISCAN,004963,18/03/2024,"F CFA 13,435",IOPAMIDOL,30.6 g,BOITE / 1 AMPOULE DE 50 ML,SOLUTION INJECTABLE,MEDIS,ORALE,PRODUITS DE CONTRASTE,RCP,Notice,Image
AFINE,004953,18/03/2024,"F CFA 2,560",ACETAMINOPHENE / MALEATE DE PHENYLEPHRINE / ACIDE ASCORBIQUE,280 mg / 10 mg / 100 mg,BOITE / 10,COMPRIME,SUBIRA PHARMACEUTICALS PVT LMT,ORALE,ETATS GRIPPAUX ET AFFECTIONS FEBRILES,RCP,Notice,Image
ELICA,004957,18/03/2024,"F CFA 2,925",FUROATE DE MOMETASONE,0.1% P/,TYPE / 30 g,CREME,JAMJAM PHARMACEUTICALS COMPANY,USAGE TOPIQUE,ACTIVITE ANTI-INFLAMMATOIRE ET UNE ACTIVITE ANTI-PSORIASIQUE,RCP,Notice,Image
ACETIN,004956,18/03/2024,"F CFA 3,352",TRETINOÏNE,0.05% P/P,TYPE / 30 g,CREME,JAMJAM PHARMACEUTICALS COMPANY,USAGE TOPIQUE,RETINOÏDE A USAGE TOPIQUE DANS L’ACNE,RCP,Notice,Image
COTECLAV,004955,18/03/2024,"F CFA 4,206",AMOXICILLINE / ACIDE CLAVULANIQUE,500mg / 62.5mg,BOITE/ 16,ORALE,NSN HEALTHCARE,ORALE,"ASSOCIATION DE PENICILLINES, Y COMPRIS INHIBITEURS DE LA BETA-LACTAMASE; CODE ATC: J01CR02",RCP,Notice,Image
GLYMAX,002650,8/2/2024,"F CFA 3,657",GLIMEPIRIDE / METFORMINE,2 mg / 500 mg,BOITE / 30,COMPRIME,MsLAB,ORALE,ANTIDIABETIQUE ORAL,RCP,Notice,Image
GINKGO BIOGARAN,002606,8/2/2024,"F CFA 3,108",GINKGO BILOBA L,40 mg,BOITE / 30,COMPRIME,BIOGARAN,ORALE,AUTRE MEDICAMENTS DE LA DEMENCE,RCP,Notice,Image
TILVOM,02625,8/2/2024,"F CFA 5,364",CHLORYDRATE D’ONDANSETRON,4 mg,BOITE / 5,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,PREVENTION DES NAUSEES ET DES VOMISSEMENTS ASSOCIES A LA CHIMIOTHERAPIE ANTICANCEREUSE,RCP,Notice,Image
RISPERIDONE BGL,004960,18/03/2024,"F CFA 29,528",RISPERIDONE,1 mg / 1 ml,FLACON / 60 ml,SOLUTION BUVABLE,BIOGALENIC,ORALE,ANTIPSYCHOTIQUES,RCP,Notice,Image
OFLOZOLE,004944,18/03/2024,"F CFA 4,267",OFLOXACINE / ORNIDAZOLE,200 mg / 500 mg,BOITE / 10,COMPRIME,AUROCHEM PHARMACEUTICAL PVT. LTD.,ORALE,ASSOCIATIONS ANTIBACTERIENS,RCP,Notice,Image
BEOGUT,004940,18/03/2024,"F CFA 2,779",CLOSTRIDIUM BUTYRICUM / BIFIDOBACTERIUM INFANTIS,> 1.10expo7 CFU/g > 1.10Eexpo6 CFU/g,BOITE / 10,SACHET,B & 0 PHARM,ORALE,ANTIDIARRHEIQUES,RCP,Notice,Image
BISOPROLOL REF,002627,8/2/2024,"F CFA 2,804",HEMIFUMARATE DE BISOPROLOL,10 mg,BOITE / 30,COMPRIME,BIOGARAN,ORALE,BETA-BLOQUANT SELECTIF,RCP,Notice,Image
CELEBIB,002634,8/2/2024,"F CFA 4,267",CELECOXIB,100 mg,BOITE / 20,GELULE,MACLEODS PHARMACEUTICALS LTD,ORALE,INHIBITEUR ORAL SELECTIF DE LA COX 2,RCP,Notice,Image
FLOXATIL,002603,8/2/2024,"F CFA 1,828",LEVOFLOXACINE,500 mg,FLACON / 100 ml,SOLUTION POUR PERFUSION,TIL HEALTHCARE PVT LTD,INJECTABLE,"ANTIBACTERIENS QUINOLONES, FLUOROQUINOLONES, ATC CODE: J01 MA12",RCP,Notice,Image
BISOPROLOL REF,002527,7/2/2024,"F CFA 7,851",HEMIFUMARATE DE BISOPROLOL,10 mg,BOITE / 90,COMPRIME PELLICULE,BIOGARAN,ORALE,BETA-BLOQUANT SELECTIF,RCP,Notice,Image
AMLOPERIN,002523,7/2/2024,"F CFA 10,972",ATORVASTATINE / AMLODIPINE / PERINDOPRIL,20 mg / 5 mg / 5 mg,BOITE / 30,COMPRIME,GENERIC HEALTHCARE PVT LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
URELOG,002501,7/2/2024,"F CFA 42,670",KETOANALOGUE / AMINOACIDE,322 mg / 308 mg,BOITE / 100,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,APPORT D’ACIDE AMINE ESSENTIEL,RCP,Notice,Image
MACROMYCIN,002496,7/2/2024,"F CFA 3,169",SPIRAMYCINE,1.5 M.I.U,BOITE / 20,COMPRIME PELLICULE,MACLEODS PHARMACEUTICALS LTD,ORALE,"ANTIBACTERIEN AGENT, ATC CODE, FJ01FA02",RCP,Notice,Image
EPOMAX,002505,7/2/2024,"F CFA 36,574",ERYTHROPOIETINE HUMAINE RECOMBINANTE ALPHA,2000 UI / ml,BOITE / 10,AMPOULE,MEDIS,ORALE,ANTI ANEMIQUE,RCP,Notice,Image
AMLODIPINE / VALSARTAN BIOGARAN,002506,7/2/2024,"F CFA 15,387",AMLODIPINE / VALSARTAN,5 mg / 160 mg,BOITE / 90,COMPRIME,BIOGARAN,ORALE,AGENT AGISSANT SUR LE SYSTEME RENINE ANGIOTENSINE,RCP,Notice,Image
MEDOMOX,002502,7/2/2024,"F CFA 26,711",AMOXICILLINE TRIHYDRATEE,500 mg,BOITE / 500,GELULE,MEDOPHARM PVT LTD,ORALE,ANTIBIOTIQUES ANTIBACTERIENS,RCP,Notice,Image
AMOXICILLINE ACIDE,002500,7/2/2024,"F CFA 3,474",AMOXICILLINE / ACIDE CLAVULANIQUE,500mg / 62.5mg,BOITE / 16,COMPRIME,OBCO PHARMA,ORALE,"ANTIBACTERIENS A USAGE SYSTEMEIQUE, CODE ATC: J01CR02",RCP,Notice,Image
ZINNIA-P,002493,7/2/2024,"F CFA 7,924",LEVONORGESTREL / ETHINYLESTRADIOL,150µg / 30µg,BOITE / 3X28,COMPRIME,MYLAN LABORATORIES LIMITED,ORALE,"HORMONES SEXUELLES ET MODULATEURS DU SYSTEME G2NITAL, PROGESTATIFS OESTRAGENES, COMBINAISONS FIXES",RCP,Notice,Image
PHYSIODOSE,002495,7/2/2024,"F CFA 1,243",CHLORURE DE SODIUM (NACI),0.9g,BOITES / 15X5 ml,SERUM,GILBERT,NASALE,PREPARATION NASALE,RCP,Notice,Image
AMLOPERIN-AT,002609,8/2/2024,"F CFA 10,972",ATORVASTATINE / AMLODIPINE / PERINDOPRIL,10mg / 5mg / 5mg,BOITE / 30,COMPRIME,GENERIC HEALTHCARE,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
FLOXATIL,002503,7/2/2024,"F CFA 5,364",LEVOFLOXACINE,500 mg,BOITE / 10,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,"ANTIBACTERIENS QUINOLONES, FLUOROQUINOLONES, ATC CODE: J01 MA12",RCP,Notice,Image
S-DOM,002617,8/2/2024,"F CFA 5,486",ESOMEPRAZOLE / DOMPERIDONE,40 mg / 30 mg,BOITE / 30,GELULE,AURA LIFECARE PVT LTD,ORALE,INHIBITEUR DE LA POMPE A PROTONS,RCP,Notice,Image
ESOPEL,002498,7/2/2024,"F CFA 1,950",ESOMEPRAZOLE,20 mg,BOITE / 20,COMPRIME,MEDOPHARM PVT LTD,ORALE,"MEDICAMENTS DES TROUBLES LIES A L’ACIDITE INHIBITEURS DE LA POMPE A PROTONS, CODE ATC : A02B C05",RCP,Notice,Image
RUBIRED,002520,7/2/2024,"F CFA 1,706",ACIDE ASCORBIQUE FERREUX / ACIDE FOLIQUE / CYANOCOBALAMINE TRITUREE,30 mg / 0.5 mg / 2.5 mcg,FLACON / 150 ml,SIROP,MACLEODS PHARMACEUTICALS LTD,ORALE,ANTI-ANEMIE,RCP,Notice,Image
PHYSIODOSE,002516,7/2/2024,"F CFA 2,121",CHLORURE DE SODIUM,0.9g,BOITE / 30,SERUM,GILBERT,NASALE,PREPARATION NASALE,RCP,Notice,Image
ORTIZA,002521,7/2/2024,"F CFA 3,657",AZITHROMYCINE,500mg,BOITE / 30,COMPRIME,MEDOPHARM PVT LTD,ORALE,ANTIBACTERIEN,RCP,Notice,Image
LEVOPIRID,002630,7/4/2024,"F CFA 5,364",LEVOSULPIRIDE,25 mg,BOITE / 6,INJECTABLE,GENERIC HEALTHCARE PVT LTD,INJECTABLE,SYNDROME DYSPEPTIQUE,RCP,Notice,Image
METRONIDAZOLE,002658,7/3/2024,F CFA 928,METRONIDAZOLE,500 mg,BOITE / 100,INJECTABLE,OBCO PHARMA,INJECTABLE,ANTIBIOTIQUES ANTIBACTERIENS ANTIPARAZITAIRES DE LA FAMILLE DE NITRO – 5- IMIDAZOLES,RCP,Notice,Image
AMOXILLINE OBCO,002488,7/2/2024,F CFA 670,AMOXILLINE,125 mg,FLACON / 60,SUSPENSION BUVABLE,OBCO PHARMA,ORALE,PENICILLINES A LARGE SPETRE CODE ATC : JO1CA04,RCP,Notice,Image
FE-XTRA,002504,7/2/2024,"F CFA 1,950",SURFATE DE GLYCINE FERREUX / L- HISTIDINE/ PYRIDOXINE/ MICOTINAMIDE/ ACIDE FOLIQUE/ CYANOCOBALAMINE/ ASCORBATE DE ZING,216.5 mg / 4 mg / 25 mg / 1.5 mg / 25 mg / 0.5 mg / 2.5 mcg / 50 mg,FLACOM / 200,SIROP,TABLETS MEDOPHARM PRIVATE LIMTED,ORALE,ANEMIE FERRIPRIVE,RCP,Notice,Image
AMOXILLINE OBCO,002499,7/2/2024,F CFA 792,AMOXILLINE,250 mg,FLACOM / 60,SUSPENSION BUVABLE,OBCO PHARMA1,ORALE,PENICILLINES A LARGE SPETRE CODE ATC : JO1CA04,RCP,Notice,Image
ONDAMAC,002653,8/2/2024,"F CFA 3,047",ONDANSETRON,2mg,FLACON / 30 ml,SIROP,MACLEODS PHARMACEUTICALS LTD,ORALE,ANTAGONISTE,RCP,Notice,Image
APETAMIN,002661,8/2/2024,"F CFA 2,377",CYPROHEPTADINE / THIAMINE HYDROCHLORIDE / PYRIDOXINE / NICOTINAMIDE / DEXPANTHENOL,2mg / 150mg / 2mg /1mg / 15mg / 4.5mg,FLACOM / 110 ml,SIROP,TIL HEALTHCARE PVT LTD,ORALE,ANOREXIE,RCP,Notice,Image
BANEO-GH,002629,8/2/2024,"F CFA 1,341",BACITRAZINE ZINC / SULFATE DE NEOMYCINE,250UI / 5000 UI,TYPE / 20 g,POMMADE,GENERIC HEALTHCARE PVT LTD,CUTANE,ANTIBIOTIQUES,RCP,Notice,Image
BISOPROLOL,002659,8/2/2024,"F CFA 5,803",HEMIFUMARATE,5mg,BOITE / 90,COMPRIME,BIOGARAN,ORALE,BETA-BLOQUANT SELECTIF,RCP,Notice,Image
MULTIGARD,002660,8/2/2024,"F CFA 1,950",THREONINE / VALINE / METHIONINE / ISOLEUCINE/LEUCINE / PHENYLALANINE / TRYPTOPHANE / CHLORHYDRATE DE L-LYSINE / CHLORHYDRATE DE THIAMINE / RIBOFLAVINE / CHLORHYDRATE DE PYRIDOXINE / NICOTINAMIDE / ACIDE ASCORBIQUE / VITAMINE A CHOLACALCIFEROL / ACETATE DE TOCOPHERYLE ALPHA TOUT-RAC / CYANOCOBALAMINE / ACIDE FOLIQUE / PANTOTHENATE DE CALCIUM,"4.2 mg / 6.7 mg / 9.2 mg / 5.9mg / 18,3 mg / 5.0 mg / 5.0 mg / 25 mg / 5.0 mg / 3mg / 1.5 mg / 25 mg / 40 mg / 2500 mg / 200 mg / 7.5 mg / 2.5 mg / 0.75 mg / 5.0 mg",FLACOM / 100 ml,SIROP,MEDOPHARM PVT LTD,ORALE,CARENCE EN ACIDES ANIMES ET EN VITAMINES,RCP,Notice,Image
ENOXAGEN,002607,8/2/2024,"F CFA 6,095",ENOXAPARINE SODIQUE,20 mg,2 SERINGUES PREREMPLIES DE 2 ML,SOLUTION INJECTABLE,GENERIC HEALTHCARE PVT LTD,INJECTABLE,"AGENT ANTHITHROMBOTIQUE, GROUPE DE L’HEPARINE",RCP,Notice,Image
CZARTAN,002615,8/2/2024,"F CFA 4,267",LOSARTAN,50 mg,BOITE / 30,COMPRIME,MACLEODS PHARMACEUTICALS LTD,ORALE,ANGIOTENSINE 1 DANS UNE REACTION CATALYSEE PAR L’ENZYME CONVERTISSANT L’ANGIOTENSINE,RCP,Notice,Image
FEBUXOSTAT BIOGARAN,002625,8/2/2024,"F CFA 9,509",FEBUXOSTAT,80 mg,BOITE / 28,COMPRIME,BIOGARAN,ORALE,URICOSRIRIQUE INHIBITEUR DE SYNTHESE D’ACIDE URIQUE,RCP,Notice,Image
